release_speed,release_pos_x,release_pos_z,release_pos_y,launch_speed,effective_speed,release_spin_rate,release_extension,pitch_name
95.3,-1.26,5.23,54.08,82.3,95.6,2247,6.4,4-Seam Fastball
81.7,-1.51,5.1,53.89,68.1,82.4,2351,6.6,Sweeper
95.5,-1.41,5.05,54.12,76.8,95.5,2357,6.4,4-Seam Fastball
94.9,-1.53,5.03,54.07,79.5,95.0,2269,6.4,4-Seam Fastball
94.9,-1.4,5.09,54.09,62.0,94.9,2121,6.4,4-Seam Fastball
95.1,-1.48,5.06,53.97,90.9,95.2,2178,6.5,4-Seam Fastball
91.9,-1.31,5.09,54.06,104.3,91.9,2209,6.4,Changeup
90.0,-1.34,4.95,53.83,89.0,90.6,1687,6.7,Changeup
96.1,-1.27,5.16,53.99,98.2,96.2,2294,6.5,4-Seam Fastball
96.0,-1.36,5.06,53.98,76.7,95.9,2343,6.5,Sinker
95.4,-1.36,5.07,54.03,98.1,95.6,2189,6.5,4-Seam Fastball
80.4,-1.47,5.17,54.03,64.7,80.8,2298,6.5,Sweeper
95.9,-1.35,5.03,53.92,100.9,96.3,2246,6.6,Sinker
96.4,-1.41,5.06,53.84,74.2,96.9,2232,6.7,4-Seam Fastball
95.3,-1.53,4.97,53.88,86.6,96.0,2203,6.6,4-Seam Fastball
95.9,-1.43,5.07,53.93,64.1,96.2,2218,6.6,4-Seam Fastball
94.8,-1.4,5.0,54.05,77.7,95.1,2306,6.4,Sinker
97.6,-1.3,5.05,53.64,91.3,98.5,2394,6.9,Sinker
84.4,-1.61,4.95,53.84,70.2,84.9,2465,6.7,Sweeper
91.0,-1.55,4.81,53.74,45.5,91.7,2024,6.8,Changeup
95.9,-1.48,5.04,53.95,91.6,96.4,2298,6.5,4-Seam Fastball
95.2,-1.43,5.19,53.8,100.2,95.9,2206,6.7,4-Seam Fastball
95.9,-1.41,5.22,53.87,77.0,96.4,2259,6.6,4-Seam Fastball
95.3,-1.49,5.2,53.87,80.7,96.1,2191,6.6,4-Seam Fastball
94.6,-1.59,4.99,53.96,102.4,94.9,2292,6.5,Sinker
87.7,-1.34,5.1,53.92,100.2,88.3,2196,6.6,Slider
95.7,-1.52,4.93,53.81,87.6,96.0,2221,6.7,4-Seam Fastball
95.0,-1.47,5.0,54.03,76.3,95.0,2136,6.5,4-Seam Fastball
81.3,-1.5,5.09,54.05,76.4,81.2,2284,6.5,Sweeper
95.2,-1.43,5.19,54.04,74.6,94.8,2247,6.5,4-Seam Fastball
95.3,-1.31,5.15,54.04,67.5,95.0,2263,6.5,4-Seam Fastball
94.2,-1.32,5.2,53.81,78.5,93.9,2327,6.7,Sinker
